survey_date,admin0,admin0_code,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total_idp,total_ret,ret_idp,ret_refugees,admin_origin
2014-10-31,Mali,MLI,Koulikoro,MLI02,Dioila,MLI0203,Guegneka,MLI00200309,170,0,NA,NA,NA
2014-11-30,Mali,MLI,Koulikoro,MLI02,Dioila,MLI0203,Guegneka,MLI00200309,170,0,NA,NA,NA
2014-11-30,Mali,MLI,Koulikoro,MLI02,Kati,MLI0205,Kati Commune,MLI00200518,12863,0,NA,NA,NA
2014-11-30,Mali,MLI,Koulikoro,MLI02,Koulikoro,MLI0201,Koulikoro Commune,MLI00200104,78,0,NA,NA,NA
2014-11-30,Mali,MLI,Sikasso,MLI03,Kolondieba,MLI0303,Kolondieba,MLI00300306,4,0,NA,NA,NA
2014-11-30,Mali,MLI,Sikasso,MLI03,Kadiolo,MLI0301,Kadiolo,MLI00300104,2,0,NA,NA,NA
2014-11-30,Mali,MLI,Sikasso,MLI03,Yorosso,MLI0302,Yorosso,MLI00300209,12,0,NA,NA,NA
2014-11-30,Mali,MLI,Kayes,MLI01,Kenieba,MLI0104,Kenieba,MLI00100409,40,0,NA,NA,NA
2014-11-30,Mali,MLI,Kayes,MLI01,Kita,MLI0105,Kita Commune,MLI00100513,119,0,NA,NA,NA
2014-11-30,Mali,MLI,Kayes,MLI01,Nioro,MLI0106,Nioro Commune,MLI00100610,120,0,NA,NA,NA
2014-11-30,Mali,MLI,Kayes,MLI01,Yelimane,MLI0107,Guidime,MLI00100705,8,0,NA,NA,NA
2014-11-30,Mali,MLI,Kayes,MLI01,Bafoulabe,MLI0102,Bafoulabe,MLI00100201,49,0,NA,NA,NA
2014-11-30,Mali,MLI,Kayes,MLI01,Diema,MLI0103,Diema,MLI00100304,84,0,NA,NA,NA
2014-11-30,Mali,MLI,Kayes,MLI01,Kayes,MLI0101,Kayes Commune,MLI00100112,311,0,NA,NA,NA
2014-11-30,Mali,MLI,Sikasso,MLI03,Koutiala,MLI0305,Koutiala Commune,MLI00300516,347,0,NA,NA,NA
2014-11-30,Mali,MLI,Sikasso,MLI03,Yanfolila,MLI0304,Baya,MLI00300401,20,0,NA,NA,NA
2014-11-30,Mali,MLI,Sikasso,MLI03,Sikasso,MLI0307,SIKASSO Commune,MLI00300737,183,0,NA,NA,NA
2014-11-30,Mali,MLI,Ségou,MLI04,Baroueli,MLI0401,Baraoueli,MLI00400101,72,0,NA,NA,NA
2014-11-30,Mali,MLI,Sikasso,MLI03,Bougouni,MLI0306,Bougouni Commune,MLI00300602,50,0,NA,NA,NA
2014-11-30,Mali,MLI,Ségou,MLI04,San,MLI0404,San Commune,MLI00400417,625,0,NA,NA,NA
2014-11-30,Mali,MLI,Ségou,MLI04,Bla,MLI0403,Bla,MLI00400302,52,0,NA,NA,NA
2014-11-30,Mali,MLI,Ségou,MLI04,Niono,MLI0405,Niono,MLI00400506,979,0,NA,NA,NA
2014-11-30,Mali,MLI,Ségou,MLI04,Segou,MLI0402,Segou Commune,MLI00400224,2863,0,NA,NA,NA
2014-11-30,Mali,MLI,Mopti,MLI05,Bandiagara,MLI0502,Bandiagara Commune,MLI00500201,80,2798,NA,NA,NA
2014-11-30,Mali,MLI,Mopti,MLI05,Bankass,MLI0503,Bankass,MLI00500301,37,0,NA,NA,NA
2014-11-30,Mali,MLI,Mopti,MLI05,Youwarou,MLI0504,Youwarou,MLI00500407,44,2574,NA,NA,NA
2014-11-30,Mali,MLI,Ségou,MLI04,Tominian,MLI0406,Tominian,MLI00400611,37,0,NA,NA,NA
2014-11-30,Mali,MLI,Ségou,MLI04,Macina,MLI0407,Macina,MLI00400705,88,0,NA,NA,NA
2014-11-30,Mali,MLI,Mopti,MLI05,Mopti,MLI0501,Mopti Commune,MLI00500109,3981,2579,NA,NA,NA
2014-11-30,Mali,MLI,Mopti,MLI05,Koro,MLI0507,Koro,MLI00500711,263,0,NA,NA,NA
2014-11-30,Mali,MLI,Mopti,MLI05,Douentza,MLI0506,Douentza Commune,MLI00500606,119,24099,NA,NA,NA
2014-11-30,Mali,MLI,Mopti,MLI05,Djenne,MLI0505,Djenne Commune,MLI00500503,83,0,NA,NA,NA
2014-11-30,Mali,MLI,Tombouctou,MLI06,Dire,MLI0602,Dire,MLI00600205,4050,15033,NA,NA,NA
2014-11-30,Mali,MLI,Mopti,MLI05,Tenenkou,MLI0508,Tenenkou Commune,MLI00500809,58,3191,NA,NA,NA
2014-11-30,Mali,MLI,Tombouctou,MLI06,Tombouctou,MLI0601,Tombouctou,MLI00600106,5193,70353,NA,NA,NA
2014-11-30,Mali,MLI,Tombouctou,MLI06,Niafunke,MLI0605,Souboundou,MLI00600507,871,40304,NA,NA,NA
2014-11-30,Mali,MLI,Tombouctou,MLI06,Gourma-Rharous,MLI0604,Rharous,MLI00600408,476,5177,NA,NA,NA
2014-11-30,Mali,MLI,Tombouctou,MLI06,Goundam,MLI0603,Goundam Commune,MLI00600308,1354,9584,NA,NA,NA
2014-11-30,Mali,MLI,Gao,MLI07,Bourem,MLI0703,Bourem,MLI00700302,1168,21139,NA,NA,NA
2014-11-30,Mali,MLI,Gao,MLI07,Ansongo,MLI0702,Ansongo,MLI00700201,2291,42709,NA,NA,NA
2014-11-30,Mali,MLI,Gao,MLI07,Gao,MLI0701,Gao,MLI00700103,1230,30511,NA,NA,NA
2014-11-30,Mali,MLI,Menaka,MLI07,Menaka,MLI0704,Menaka,MLI00700403,2381,44692,NA,NA,NA
2014-11-30,Mali,MLI,Kidal,MLI08,Tin-Essako,MLI0802,Tin Essako,MLI00800201,1374,0,NA,NA,NA
2014-11-30,Mali,MLI,Kidal,MLI08,Abeibara,MLI0803,Abeibara,MLI00800301,1727,200,NA,NA,NA
2014-11-30,Mali,MLI,Kidal,MLI08,Kidal,MLI0801,Anefif,MLI00800101,5469,300,NA,NA,NA
2014-11-30,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune V,MLI00900105,0,0,NA,NA,NA
2014-11-30,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune VI,MLI00900106,0,0,NA,NA,NA
2014-11-30,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune IV,MLI00900104,0,0,NA,NA,NA
2014-11-30,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune III,MLI00900103,0,0,NA,NA,NA
2014-11-30,Mali,MLI,Kidal,MLI08,Tessalit,MLI0804,Tessalit,MLI00800403,3455,0,NA,NA,NA
2014-11-30,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune II,MLI00900102,0,0,NA,NA,NA
2014-11-30,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune I,MLI00900101,31146,0,NA,NA,NA
2014-12-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune I,MLI00900101,4523,0,NA,NA,NA
2014-12-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune II,MLI00900102,628,0,NA,NA,NA
2014-12-31,Mali,MLI,Kidal,MLI08,Tessalit,MLI0804,Tessalit,MLI00800403,3455,350,NA,NA,NA
2014-12-31,Mali,MLI,Kidal,MLI08,Abeibara,MLI0803,Abeibara,MLI00800301,1727,275,NA,NA,NA
2014-12-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune IV,MLI00900104,1689,0,NA,NA,NA
2014-12-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune III,MLI00900103,2749,0,NA,NA,NA
2014-12-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune V,MLI00900105,2204,0,NA,NA,NA
2014-12-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune VI,MLI00900106,2593,0,NA,NA,NA
2014-12-31,Mali,MLI,Kidal,MLI08,Kidal,MLI0801,Anefif,MLI00800101,5469,375,NA,NA,NA
2014-12-31,Mali,MLI,Kidal,MLI08,Tin-Essako,MLI0802,Tin Essako,MLI00800201,1339,0,NA,NA,NA
2014-12-31,Mali,MLI,Menaka,MLI07,Menaka,MLI0704,Menaka,MLI00700403,2079,44838,NA,NA,NA
2014-12-31,Mali,MLI,Gao,MLI07,Gao,MLI0701,Gao,MLI00700103,1794,33612,NA,NA,NA
2014-12-31,Mali,MLI,Gao,MLI07,Bourem,MLI0703,Bourem,MLI00700302,1484,22422,NA,NA,NA
2014-12-31,Mali,MLI,Gao,MLI07,Ansongo,MLI0702,Ansongo,MLI00700201,1888,59730,NA,NA,NA
2014-12-31,Mali,MLI,Tombouctou,MLI06,Goundam,MLI0603,Goundam Commune,MLI00600308,1012,9876,NA,NA,NA
2014-12-31,Mali,MLI,Tombouctou,MLI06,Gourma-Rharous,MLI0604,Rharous,MLI00600408,626,56508,NA,NA,NA
2014-12-31,Mali,MLI,Tombouctou,MLI06,Niafunke,MLI0605,Souboundou,MLI00600507,1112,41708,NA,NA,NA
2014-12-31,Mali,MLI,Mopti,MLI05,Tenenkou,MLI0508,Tenenkou Commune,MLI00500809,58,3307,NA,NA,NA
2014-12-31,Mali,MLI,Tombouctou,MLI06,Dire,MLI0602,Dire,MLI00600205,3658,17981,NA,NA,NA
2014-12-31,Mali,MLI,Tombouctou,MLI06,Tombouctou,MLI0601,Tombouctou,MLI00600106,3940,71493,NA,NA,NA
2014-12-31,Mali,MLI,Mopti,MLI05,Djenne,MLI0505,Djenne Commune,MLI00500503,56,0,NA,NA,NA
2014-12-31,Mali,MLI,Mopti,MLI05,Douentza,MLI0506,Douentza Commune,MLI00500606,89,24176,NA,NA,NA
2014-12-31,Mali,MLI,Mopti,MLI05,Koro,MLI0507,Koro,MLI00500711,262,0,NA,NA,NA
2014-12-31,Mali,MLI,Ségou,MLI04,Macina,MLI0407,Macina,MLI00400705,16,0,NA,NA,NA
2014-12-31,Mali,MLI,Ségou,MLI04,Tominian,MLI0406,Tominian,MLI00400611,34,0,NA,NA,NA
2014-12-31,Mali,MLI,Ségou,MLI04,Niono,MLI0405,Niono,MLI00400506,314,0,NA,NA,NA
2014-12-31,Mali,MLI,Mopti,MLI05,Youwarou,MLI0504,Youwarou,MLI00500407,44,2589,NA,NA,NA
2014-12-31,Mali,MLI,Mopti,MLI05,Bankass,MLI0503,Bankass,MLI00500301,37,0,NA,NA,NA
2014-12-31,Mali,MLI,Mopti,MLI05,Bandiagara,MLI0502,Bandiagara Commune,MLI00500201,80,2813,NA,NA,NA
2014-12-31,Mali,MLI,Mopti,MLI05,Mopti,MLI0501,Mopti Commune,MLI00500109,3804,2602,NA,NA,NA
2014-12-31,Mali,MLI,Ségou,MLI04,Segou,MLI0402,Segou Commune,MLI00400224,1105,0,NA,NA,NA
2014-12-31,Mali,MLI,Ségou,MLI04,Bla,MLI0403,Bla,MLI00400302,28,0,NA,NA,NA
2014-12-31,Mali,MLI,Ségou,MLI04,San,MLI0404,San Commune,MLI00400417,568,0,NA,NA,NA
2014-12-31,Mali,MLI,Sikasso,MLI03,Sikasso,MLI0307,SIKASSO Commune,MLI00300737,70,0,NA,NA,NA
2014-12-31,Mali,MLI,Ségou,MLI04,Baroueli,MLI0401,Baraoueli,MLI00400101,41,0,NA,NA,NA
2014-12-31,Mali,MLI,Sikasso,MLI03,Kolondieba,MLI0303,Kolondieba,MLI00300306,1,0,NA,NA,NA
2014-12-31,Mali,MLI,Sikasso,MLI03,Yanfolila,MLI0304,Baya,MLI00300401,7,0,NA,NA,NA
2014-12-31,Mali,MLI,Sikasso,MLI03,Koutiala,MLI0305,Koutiala Commune,MLI00300516,178,0,NA,NA,NA
2014-12-31,Mali,MLI,Sikasso,MLI03,Bougouni,MLI0306,Bougouni Commune,MLI00300602,14,0,NA,NA,NA
2014-12-31,Mali,MLI,Kayes,MLI01,Kayes,MLI0101,Kayes Commune,MLI00100112,159,0,NA,NA,NA
2014-12-31,Mali,MLI,Kayes,MLI01,Bafoulabe,MLI0102,Bafoulabe,MLI00100201,19,0,NA,NA,NA
2014-12-31,Mali,MLI,Kayes,MLI01,Diema,MLI0103,Diema,MLI00100304,84,0,NA,NA,NA
2014-12-31,Mali,MLI,Kayes,MLI01,Yelimane,MLI0107,Guidime,MLI00100705,1,0,NA,NA,NA
2014-12-31,Mali,MLI,Kayes,MLI01,Nioro,MLI0106,Nioro Commune,MLI00100610,78,0,NA,NA,NA
2014-12-31,Mali,MLI,Kayes,MLI01,Kita,MLI0105,Kita Commune,MLI00100513,35,0,NA,NA,NA
2014-12-31,Mali,MLI,Kayes,MLI01,Kenieba,MLI0104,Kenieba,MLI00100409,0,0,NA,NA,NA
2014-12-31,Mali,MLI,Sikasso,MLI03,Kadiolo,MLI0301,Kadiolo,MLI00300104,2,0,NA,NA,NA
2014-12-31,Mali,MLI,Sikasso,MLI03,Yorosso,MLI0302,Yorosso,MLI00300209,12,0,NA,NA,NA
2014-12-31,Mali,MLI,Koulikoro,MLI02,Kati,MLI0205,Kati Commune,MLI00200518,10325,0,NA,NA,NA
2014-12-31,Mali,MLI,Koulikoro,MLI02,Koulikoro,MLI0201,Koulikoro Commune,MLI00200104,74,0,NA,NA,NA
2014-12-31,Mali,MLI,Koulikoro,MLI02,Dioila,MLI0203,Guegneka,MLI00200309,57,0,NA,NA,NA
2015-04-30,Mali,MLI,Koulikoro,MLI02,Koulikoro,MLI0201,Koulikoro Commune,MLI00200104,75,0,NA,NA,NA
2015-04-30,Mali,MLI,Koulikoro,MLI02,Dioila,MLI0203,Guegneka,MLI00200309,34,0,NA,NA,NA
2015-04-30,Mali,MLI,Koulikoro,MLI02,Kati,MLI0205,Kati Commune,MLI00200518,4622,0,NA,NA,NA
2015-04-30,Mali,MLI,Sikasso,MLI03,Yorosso,MLI0302,Yorosso,MLI00300209,9,0,NA,NA,NA
2015-04-30,Mali,MLI,Sikasso,MLI03,Kolondieba,MLI0303,Kolondieba,MLI00300306,2,0,NA,NA,NA
2015-04-30,Mali,MLI,Kayes,MLI01,Diema,MLI0103,Diema,MLI00100304,25,0,NA,NA,NA
2015-04-30,Mali,MLI,Kayes,MLI01,Kita,MLI0105,Kita Commune,MLI00100513,22,0,NA,NA,NA
